,Title,Year,Plot,Rating,Budget,Cast,MPA Rating,Directors,Distributors,Producers,Genre,Runtime in Minutes
10,11. Sex Appeal,2022,"Avery, a teenager with a tendency towards perfectionism, enlists her friend Larson to help her prepare for her first time with her long-distance boyfriend. Avery Hansen-White doesn't do things she isn't excellent at. So when her long-distance boyfriend hints at wanting to take their relationship to the next level, she sets out to master her sexuality, employing her oldest friend, Larson, as a test subject. In this hilarious teen comedy, Avery's study results in the realization that there's more to sex, and love, than mechanics. Relationships require both head and heart.",5.4,N/A,"Mika Abdalla,Jake Short,Fortune Feimster,Margaret Cho,Rebecca Henderson,Mason Versaw,Paris Jackson,Tate Hanyok,Artemis Pebdani,Hayden Szeto,Daniela Nieves,Troy Leigh-Anne Johnson,Joshua Colley,Belissa Escobedo,Philip Solomon,Daniel Iturriaga,Trey Quick,Ben Wang,Ariela Sidney,Sahana Srinivasan,Maddie Roth,Paisley Day Herrera,Elliott Osteen Hess,Luciana VanDette,Kendyl Thakral,Vincenzo Lisanti,Ted Evans,Aqualillies,Nolan Callahan,Jonathan Campano,Michael Ferris,Alex D. Jennings,Ryan Joseph Long,Victoria Martzloff,Kaitlyn McKenzie,Elizabeth O'Connor,Alyssa Paige,Patrick A. Sova,Ashley Szczerbacki",TV-MA,Talia Osteen,"Disney+,Disney+,Disney+,Hulu","Nickel City Pictures,Lit Entertainment Group,American High,LD Entertainment","Comedy,Drama,Romance",90
11,12. Emily the Criminal,2022,"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences. Emily (Aubrey Plaza) is saddled with student debt and locked out of the job market due to a minor criminal record. Desperate for income, she takes a shady gig as a ""dummy shopper,"" buying goods with stolen credit cards supplied by a handsome and charismatic middleman named Youcef (Theo Rossi). Faced with a series of dead-end job interviews, Emily soon finds herself seduced by the quick cash and illicit thrills of black-market capitalism, and increasingly interested in her mentor Youcef. Together, they hatch a plan to bring their business to the next level in Los Angeles.",6.7,"$3,000,000 (estimated)","Aubrey Plaza,John Billingsley,Kim Yarbrough,Bernardo Badillo,Kara Luiz,Janice Sonia Lee,Wesley Han,Wyatt Barrios,Megalyn Echikunwoke,Brandon Sklenar,Ben Rodgers,Ricarlo Flanagan,Amje Elharden,Jonathan Avigdori,Victor Manso,Theo Rossi,Lamar Usher,Roman Arabia,Roman Mitichyan,Jack Topalian,Craig Stark,Sarah Allyn Bauer,Rif Hutton,Tomas Pais,Kimiko Singer,Sheila Korsi,Gina Gershon,Adam Elshar,Jessie Camacho,Jackie Bonsignore,Frank Brown Jr.,Carlos E. Campos,Kate Chen,John Posey,Jessie Reeder,Shoko Rice",R,John Patton Ford,"Roadside Attractions,Vertical Entertainment,Netflix,Universal Pictures Content Group","Evil Hag Productions,Low Spark Films,Fear Knot Productions","Crime,Drama,Mystery,Thriller",97
12,13. Am I OK?,2022,"Lucy and Jane have been best friends their entire lives. Only when Lucy embarks on a personal journey, will she face a test of her friendship, and her sense of self, on a path she may not be entirely ready to take. Lucy and Jane have been best friends for most of their lives and think they know everything there is to know about each other. But when Jane announces she's moving to London, Lucy reveals a long-held secret. As Jane tries to help Lucy, their friendship is thrown into chaos.—Warner Bros. Discovery Living just five minutes away from each other in the heart of Los Angeles, best friends Lucy and Jane are inseparable. But despite Jane's confident belief that she knows Lucy inside and out, Lucy is quietly struggling through her daily routine. And then, Jane faces a life-changing opportunity, throwing their cosy pattern of sharing meals at charming diners and exchanging long text messages off balance. Soon, this unexpected turn of events forces Lucy to confront her inner confusion, leaving her grappling with a simple yet profound question: Who am I?—Nick Riganas",6.1,N/A,"Dakota Johnson,Sonoya Mizuno,Jermaine Fowler,Kiersey Clemons,Molly Gordon,Whitmer Thomas,Sean Hayes,Tig Notaro,Odessa A'zion,Patrick McDonald,Mayank Bhatter,Jess Nurse,Emma Pasarow,Rey Herrera,E.R. Fightmaster,Victoria Gale,Christina Higa,James Hunter,Aly Jade",R,"Stephanie Allynne,Tig Notaro","Max,Warner Bros. Pictures Germany,HBO Max","Gloria Sanchez Productions,Level Forward,Picturestart,Something Fierce Productions,TeaTime Pictures","Comedy,Drama,Romance",86
13,14. Cha Cha Real Smooth,2022,A young man who works as a Bar Mitzvah party host strikes up a friendship with a mother and her autistic daughter.,7.3,N/A,"Cooper Raiff,Dakota Johnson,Evan Assante,Vanessa Burghardt,Leslie Mann,Brad Garrett,Raúl Castillo,Colton Osorio,Amara Pedroso,Odeya Rush,Brooklyn Ramirez,Kelly O'Sullivan,Javien Mercado,Chris Newman,Paul Hurley,Davina Reid,Lisa Velten Smith,Corrie Danieley,Eamonn McElfresh,Mike Dennis,Alison Weisgall,Jonathan Visser,Tommy Lafitte,Jonathan Berry,Loretta Chambers,Jim Fitzgerald,Xander Goldman,Wesley Heverly,Daisy Jade,Liam Jones,Ellen Kotzin,Scott Lockhart,Ella M. Marks,Rolando Mays,Tiffany Sander McKenzie,Tom McNutt,Jackson Miller,Phil Nardozzi,Olivia Pagone,Felicia Reuter,Chris A. Riskus,Tyler Sharpe,Brenna Sherman,Shane Stadtlander,Drake Tobias,Valena Zitello",R,Cooper Raiff,"Apple TV+,Apple TV+","Picturestart,Fifth Season,BBC Legends,Fifth Season,TeaTime Pictures","Comedy,Drama",107
14,15. Sharp Stick,2022,"Sarah Jo is a naive 26-year-old living on the fringes of Hollywood with her mother and sister. She just longs to be seen. When she begins an affair with her older employer, she is thrust into an education on sexuality, loss and power.",4.9,N/A,"Kristine Froseth,Jon Bernthal,Luka Sabbat,Scott Speedman,Lena Dunham,Ebon Moss-Bachrach,Taylour Paige,Jennifer Jason Leigh,Liam Michel Saux,Janicza Bravo,Ben Sidell,Tommy Dorfman,Steve Hart,Margaux Rust,Patrick McLain,Lisa Costanza,Victoria De Mare,Stephen Saux",R,Lena Dunham,"Utopia,Sony Pictures Home Entertainment","FilmNation Entertainment,Good Thing Going",Comedy,92
15,16. Home Team,2022,"New Orleans Saints head coach Sean Payton coaches his son's 6th-grade football team while he is being suspended for the entire 2012 season as a result of his role in the Saints' Bountygate scandal. Two years after a Super Bowl win, a scandal, and a suspension, New Orleans Saints head coach Sean Payton returns to his hometown and tries to reconnect with his 12-year-old son by coaching his Pop Warner football team. Payton was suspended in 2012 for his role in the team's Bountygate scandal where bounties were allegedly being paid to players who would try to injure players from the opposing team.",6.0,N/A,"Kevin James,Taylor Lautner,Rob Schneider,Jackie Sandler,Gary Valentine,Lavell Crawford,Chloe Fineman,Tait Blum,Maxwell Simkins,Jacob Perez,Bryant Tardy,Manny Magnus,Liam Kyle,Christopher Farrar,Merek Mastrov,Isaiah Mustafa,Dana Goodman,Sunny Sandler,Chris Titone,Ashley D. Kelley,Anthony L. Fernandez,Jared Sandler,Bunchie Young,Rhonda Johnson Dents,Allen Covert,John Farley,Brendan Kinnane,Lester Johnson,Bryce Bruckbauer,Joseph Vecsey,Tracy Wolfson,Dan Patrick,Bill Cowher,Jim Nantz,Sean Payton,Scott Green,Jayden Hamilton,Joshua Moody,Dennis Sosa,Ron Usie,Ronald Joe Vasquez",PG,"Charles Kinnane,Daniel Kinnane","Netflix,Netflix","Happy Madison Productions,Hey Eddie","Comedy,Sport",95
16,17. 892,2022,A Marine war veteran faces mental and emotional challenges when he tries to reintegrate into civilian life.,6.3,N/A,"John Boyega,Nicole Beharie,Selenis Leyva,Michael Kenneth Williams,Connie Britton,Jeffrey Donovan,Olivia Washington,London Covington,Robb Derringer,Carmine Giovinazzo,Kate Burton,Albert Kong,Elise Neal,Kelli Dawn Hancock,Mel Fair,Keith Ewell,Miriam Silverman,Shannon Walsh,Kim D'Armond,Brian Groh,Dan Aho,Xavier Avila,John Zderko,Kacey Montoya,Aries Sanders,William Marquart,Lily Keene,Bourke Floyd,Marcus Bailey,Michelle Bernard,Malcolm Smith,Joyce Greenleaf,Angelina Ramirez,Anthony D. Washington,Frantz Durand,Robert Gatewood,Harvey B. Jackson,Anne-Marie Olsen,Paul Sinacore,Peter Lawrence Singer,Katherine Stephens-Miller,John Un,Marco Vazzano",PG-13,Abi Damaris Corbin,Bleecker Street Media,"Salmira Productions,Little Lamb,UpperRoom Productions,EPIC Magazine","Crime,Drama,Thriller",103
17,18. The King's Daughter,2022,"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",5.2,"$40,500,000 (estimated)","Pierce Brosnan,Kaya Scodelario,William Hurt,Benjamin Walker,Pablo Schreiber,Ben Lloyd-Hughes,Rachel Griffiths,Crystal Clarke,Paul Ireland,Bingbing Fan,Terry Norris,Arthur Angel,Anja Fougea,Kaya Blocksage,Kasia Kaczmarek,Jessica Clarke,Mark Antoine,Tiffany Hofstetter,Alya Barbe,Sean McNamara,Tom Morton,Linc Hasler,Kristian Beddow,Richard Anastasios,Philip Schurer,Crispin Freeman,Grace Rennie,Lily Constantine,Meg Deyell,Kevin Martin,Virginia Bowers,Lily Thornton,Julie Andrews,Sergine Dumais,Floriane Andersen,Benjamin Clegg,Robbie Clissold,Marc de Panda,Kevin Desmarescaux,Diane Duquesne,Robert Fragnito,Jessica Howes,Tyson Jarvis,Justyna Kelley,Jorja j Lindsay,Jean-Baptiste Sagory,Matthew Skinner,Brian Woodward",PG,Sean McNamara,"Gravitas Ventures,Gravitas Ventures,Central Partnership,Esen Entertainment,Vertigo Média Kft.,Canal+ Polska,Dazzler Media,Dazzler Media,Koch Films,Koch Films,Russian World Vision,Studio Distribution Services (SDS),Studio Distribution Services (SDS),Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment (UPHE),Youplanet Pictures","Lightstream Pictures Australia,TKD Film Rights,Bliss Media,Brookwell-McNamara Entertainment,Kylin Pictures,Lightstream Entertainment","Action,Adventure,Family,Fantasy,Romance",98
18,19. The Requin,2022,"A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.",2.6,"$8,500,000 (estimated)","Alicia Silverstone,James Tupper,Deirdre O'Connell,Danny Chung,Jennifer Mudge,Kha Mai,Louis Roy Pearo",R,Le-Van Kiet,"Saban Entertainment,Saban Films,Exponenta,Leonine Distribution,Leonine Distribution,Paris Filmes,WW Entertainment,WW Entertainment,Youplanet Pictures","Saban Films,Film Bridge International,828 Media Capital,Choice Films,Paper Street Pictures","Horror,Thriller",89
19,20. Resurrection,2022,"Margaret's life is in order. She is capable, disciplined and successful. Everything is under control until David returns - that is - carrying with him the horrors of Margaret's past. Haunted by harrowing memories of abuse, emotionally scarred Margaret, a doting single mother and dynamic executive on top of her game, now seems to have it all together. And with her 17-year-old daughter Abbie about to spread her wings and leave home for college, Margaret's life finally goes according to plan. However, trouble is brewing. When unsuspecting Margaret catches a glimpse of her toxic past at a conference, suddenly, she must summon every last ounce of courage to face the ghastly figure yearning to re-enter her life two long decades later. Has the ugly past returned to settle old scores with a vengeance?—Nick Riganas",5.9,N/A,"Rebecca Hall,Tim Roth,Grace Kaufman,Michael Esper,Angela Wong Carbone,Josh Drennen,Rosemary Howard,Winsome Brown,Zarra Kaahn,Jaime Zevallos,Owen Johnson,Jackson Finnegan,DJ Nino Carta,Mick Coleman,Luca De Massis,Keith Lee Grant,Bradley Lewis,Rocco Palmieri,Oliver Comstock Reynolds,Patrick A. Sova,Michael Evan Werner",R,Andrew Semans,"IFC Films,Shudder","Rosetory,Secret Engine,Square Peg,Tango Entertainment","Crime,Drama,Horror,Mystery,Thriller",103
20,21. The Ice Age Adventures of Buck Wild,2022,"Possum brothers Crash and Eddie set out to find a place of their own. Together with the one-eyed weasel, Buck Wild, they face the dinosaurs who inhabit the Lost World. Desperate for some distance from their older sister Ellie, the thrill-seeking possum brothers Crash and Eddie set out to find a place of their own, but quickly find themselves trapped in a massive cave underground. They are rescued by the one-eyed, adventure-loving, dinosaur-hunting weasel, Buck Wild, and together they must face the unruly dinosaurs who inhabit the Lost World. Dreaming of moving out and making their mark on the world, even though their adopted big sister Ellie believes they are not ready to be on their own, prehistoric possum twins Crash and Eddie summon up the courage to leave the nest after the events of Ice Age: Collision Course (2016). But it is a jungle out there. And before long, the tiny explorers wind up back in the dinosaur-ridden Lost World: the subterranean realm of expert survivalist Buck Wild, the extreme one-eyed weasel from Ice Age: Dawn of the Dinosaurs (2009), and a new megalomaniac villain bent on world domination. Do the reckless brothers have what it takes to survive reality?—Nick Riganas In order to prove to the rest of the group that they are independent and reliable on their own, Crash and Eddie set out to live their own lives. However, when they reunite with Buck, they are caught in a situation that may cost them their lives.—RECB3",4.3,"$63,000,000 (estimated)","Utkarsh Ambudkar,Sean Kenin,Jake Green,Aaron Harris,Dominique Jennings,Justina Machado,Simon Pegg,Skyler Stone,Vincent Tong,Theodore Borders,Jason Harris,Kristin McGuire,Shakira Ja'nai Paye,Peter Pamela Rose,Jason Linere-White",PG,"Marshall Fels Elliott,John C. Donkin","20th Century Studios,Disney+,Disney Channel,Disney Channel,Disney+,SRF zwei,Sat.1,Schweizer Radio und Fernsehen (SRF)","20th Century Studios,Bardel Entertainment,Twentieth Century Animation","Animation,Adventure,Comedy,Family",82
21,22. The House,2022,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy.",6.8,N/A,"Mia Goth,Matthew Goode,Claudie Blakley,Eleanor De Swaef-Roels,Mark Heap,Joshua McGuire,Stephanie Cole,Miranda Richardson,David Peacock,Barnaby Pilling,Jarvis Cocker,Sven Wollter,Yvonne Lombard,Tommy Hibbitts,Ayesha Antoine,Jason Barnett,Wayne Forester,Poppy Gathard,David Holt,Melanie Hudson,Emma Tate,Susan Wokoma,Helena Bonham Carter,Paul Kaye,Will Sharpe",TV-MA,"Paloma Baeza,Emma De Swaef,Niki Lindroth von Bahr,Marc James Roels","Netflix,Netflix",Nexus Studios,"Animation,Comedy,Drama,Fantasy,Horror,Mystery,Thriller",97
22,23. When You Finish Saving the World,2022,"Evelyn and her oblivious son Ziggy seek out replacements for each other as Evelyn desperately tries to parent an unassuming teenager at her shelter, while Ziggy fumbles through his pursuit of a brilliant young woman at school. From his bedroom home studio, high school student Ziggy performs original folk rock songs for an adoring online fan base. This concept mystifies his formal and uptight mother, Evelyn, who runs a shelter for survivors of domestic abuse. While Ziggy is busy trying to impress his socially engaged classmate Lila by making his music less bubblegum and more political, Evelyn meets Angie and her teen son, Kyle, when they seek refuge at her facility. She observes a bond between the two that she's missing with her own son, and decides to take Kyle under her wing against her better instincts. In his carefully observed, aesthetically pleasing directorial debut, Jesse Eisenberg adapts his audio project of the same name to tell the story of a mother and son who fail to understand each other's values. With gentle humor and pitch-perfect dialogue, When You Finish Saving the World reflects a moment of internet fame and youth activism, but it also recounts the timeless tale of parents and children struggling to connect across the generational chasm that separates them.—Sundance",5.6,N/A,"Julianne Moore,Finn Wolfhard,Billy Bryk,Alisha Boe,Jack Justice,Jay O. Sanders,Eleonore Hendricks,Catherine Haun,Annacheska Brown,Sara Anne,Marika Rose Sayers,Felipe Jeantete,Calhoun Koenig,Colin Miller,Adrian Mackenzie,Laura-Love Tode,Mimi Fletcher,Jordyn Aquino,Monica Sanchez,DezBaa',Kenneth McGlothin,Jeanette Aguilar Harris,Trizzie Doan,Darlene Kellum,Magnolia Marie,Crystal Mayes,Aaron Rogers",R,Jesse Eisenberg,"A24,Culture Publishers (CP),Sphere Films","CAA Media Finance,Fruit Tree","Comedy,Drama",88
23,24. Brian and Charles,2022,"After a particularly harsh winter Brian goes into a deep depression; completely isolated and with no one to talk to, Brian does what any sane person would do when faced with such a melancholic situation. He builds a robot.",6.7,N/A,"David Earl,Chris Hayward,Louise Brealey,Jamie Michie,Nina Sosanya,Lynn Hunter,Lowri Izzard,Mari Izzard,Cara Chase,Sunil Patel,Rishi Nair,Colin Bennett,Vivienne Soan,David Edwards,Nicholas Asbury,Morgan Adler",PG,Jim Archer,"Focus Features,Amazon Prime Video,Apple TV+,Peacock,Starz,Universal Pictures Home Entertainment (UPHE)","Bankside Films,BFI Films,Film4,Great Point Media,Mr. Box","Comedy,Drama,Sci-Fi",90
24,25. The Cellar,2022,"Keira Woods' daughter mysteriously vanishes in the cellar of their new house. She soon discovers there is an ancient and powerful entity controlling their home that she will have to face or risk losing her family's souls forever. Unable to turn down a once-in-a-lifetime opportunity to buy their dream house for nothing, Keira and Brian Woods move into a vast, lavish, fully-furnished Irish manor in the city's suburbs. As their sulky teenage daughter Ellie and her younger brother Steven wander around the cold rooms of their eerily-vacant new home, an intriguing wind-up gramophone in the living room suddenly catches their attention. And, without a doubt, there must be more treasures hidden in plain sight. But who knows what lies behind the kids' peculiar behaviour? What dark, hair-raising wonders lurk in the cellar?—Nick Riganas",5.3,N/A,"Elisha Cuthbert,Eoin Macken,Abby Fitz,Dylan Fitzmaurice Brady,Tara Lee,Michael-David McKernan,Andrew Bennett,Aaron Monaghan,Marie Mullen,Amy Conroy,Seán Doyle,Karl Walsh,Chris McHallem,Vivian Drew,Steve Gunn,Mónica Muñoz Marín,Nell Garcia,Sarah McKenna",N/A,Brendan Muldowney,"BfParis,Corazón Films,Exponenta,RLJE Films,Shudder,Wildcard Distribution,Amazon Instant Video,Amazon Prime Video,Front Row Filmed Entertainment,Google Play,MagentaTV,Maxdome Store,Maxdome,NN Film P,Plaion Pictures,Plaion Pictures,Rakuten TV,Sky Store,Videoload,Youtube Filme & TV,iTunes","Fís Éireann / Screen Ireland,Epic Pictures Group,Savage Productions,Hail Mary Pictures,BNP Paribas Fortis Film Finance,BCP Asset Management,Wrong Men North,Wallimage,VOO,BE TV,WRAP Fund,MEDIA Programme of the European Union,NN Film P","Horror,Mystery",94
25,1. Uncharted,2022,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada. Street-smart Nathan Drake (Tom Holland) is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan (Mark Wahlberg) to recover a fortune amassed by Ferdinand Magellan and lost 500 years ago by the House of Moncada. What starts as a heist job for the duo becomes a globe-trotting, white-knuckle race to reach the prize before the ruthless Santiago Moncada (Antonio Banderas), who believes he and his family are the rightful heirs. If Nate and Sully can decipher the clues and solve one of the world's oldest mysteries, they stand to find $5 billion in treasure and perhaps even Nate's long-lost brother...but only if they can learn to work together.",6.3,"$120,000,000 (estimated)","Tom Holland,Mark Wahlberg,Antonio Banderas,Sophia Ali,Tati Gabrielle,Steven Waddington,Pingi Moli,Tiernan Jones,Rudy Pankow,Jesús Evita,Georgia Goodman,Diarmaid Murtagh,Joseph Balderrama,Serena Posadino,Alana Boden,Jonathan Failla,Anthony Thomas,Peter Seaton-Clark,Robert Maaser,Eskindir Tesfay,Manuel de Blas,Carme Capdet,Julia Schunevitsch,Alois R. Knapps Torres,Patricia Meeden,Nolan North,Matt Barkley,Jimmy Hart,Brett Praed,Carlo Kitzlinger,Pilou Asbæk,Sarah Petrick",PG-13,Ruben Fleischer,"Columbia Pictures,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,B&H Film Distribution,Big Picture 2 Films,Columbia Pictures,Feelgood Entertainment,SF Norge A/S,SF Studios,Sony Pictures Entertainment Iberia,Sony Pictures Filmverleih,Sony Pictures Releasing International,Sony Pictures Releasing Italia,Sony Pictures Releasing,Sony Pictures Releasing,Universal Pictures International (UPI),HKC Entertainment,Sony Pictures Releasing Argentina,Sony Pictures Releasing Australia,Sony Pictures Releasing,Sony Pictures Releasing,United International Pictures,Amazon Prime Video,Apple TV+,FX Network,Home Box Office (HBO),Hulu,Max,Netflix,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,7Mate,Seven Network","Columbia Pictures,Arad Productions,Atlas Entertainment,PlayStation Productions","Action,Adventure",116
